Item,Per Unit Price,Quantity,Amount,Final Amount
,,,,
Arduino Uno,450,6,=B3*C3,=D3*2.2
Arduino Mega,800,6,=B4*C4,=D4*2.2
RFID Sensor,300,6,=B5*C5,=D5*2.2
RFID Tags,7,1000,=B6*C6,=D6*2.2
LCD Display 16x2 (Green),180,6,=B7*C7,=D7*2.2
Hex Keypad,150,6,=B8*C8,=D8*2.2
Piezo Buzzer,10,14,=B9*C9,=D9*2.2
LED,5,7,=B10*C10,=D10*2.2
Power Button,12,7,=B11*C11,=D11*2.2
Wires (in Meters),10,7,=B12*C12,=D12*2.2
Sockets 16 Pin,20,14,=B13*C13,=D13*2.2
Sockets 4 Pin,10,14,=B14*C14,=D14*2.2
Battery,400,7,=B15*C15,=D15*2.2
Charger,200,2,=B16*C16,=D16*2.2
Acrylic Sheet (Sq. Meter),500,1,=B17*C17,=D17*2.2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total,=SUM(B3:B17),=SUM(C3:C17),=SUM(D3:D17),=SUM(E3:E17)
Excluding Arduino Mega,=B25-B4,1101,=D25-D4,=E25-E4
